dbname	domain	ns_id	ns_name
afwiktionary_p	af.wiktionary.org	11	Sjabloonbespreking
afwiktionary_p	af.wiktionary.org	-1	Spesiaal
afwiktionary_p	af.wiktionary.org	4	Wiktionary
afwiktionary_p	af.wiktionary.org	5	Wiktionarybespreking
akwiki_p	ak.wikipedia.org	0	
akwiki_p	ak.wikipedia.org	14	Category
akwiki_p	ak.wikipedia.org	15	Category talk
akwiki_p	ak.wikipedia.org	6	File
akwiki_p	ak.wikipedia.org	7	File talk
akwiki_p	ak.wikipedia.org	12	Help
akwiki_p	ak.wikipedia.org	13	Help talk
akwiki_p	ak.wikipedia.org	-2	Media
akwiki_p	ak.wikipedia.org	8	MediaWiki
akwiki_p	ak.wikipedia.org	9	MediaWiki talk
akwiki_p	ak.wikipedia.org	-1	Special
akwiki_p	ak.wikipedia.org	1	Talk
akwiki_p	ak.wikipedia.org	10	Template
akwiki_p	ak.wikipedia.org	11	Template talk
akwiki_p	ak.wikipedia.org	2	User
akwiki_p	ak.wikipedia.org	3	User talk
akwiki_p	ak.wikipedia.org	4	Wikipedia
akwiki_p	ak.wikipedia.org	5	Wikipedia talk
alswiki_p	als.wikipedia.org	0	
alswiki_p	als.wikipedia.org	2	Benutzer
alswiki_p	als.wikipedia.org	3	Benutzer Diskussion
alswiki_p	als.wikipedia.org	102	Buech
alswiki_p	als.wikipedia.org	103	Buech Diskussion
alswiki_p	als.wikipedia.org	6	Datei
alswiki_p	als.wikipedia.org	7	Datei Diskussion
alswiki_p	als.wikipedia.org	1	Diskussion
alswiki_p	als.wikipedia.org	12	Hilfe
alswiki_p	als.wikipedia.org	13	Hilfe Diskussion
alswiki_p	als.wikipedia.org	14	Kategorie
alswiki_p	als.wikipedia.org	15	Kategorie Diskussion
alswiki_p	als.wikipedia.org	-2	Media
alswiki_p	als.wikipedia.org	8	MediaWiki
alswiki_p	als.wikipedia.org	9	MediaWiki Diskussion
alswiki_p	als.wikipedia.org	110	Nochricht
alswiki_p	als.wikipedia.org	111	Nochricht Diskussion
alswiki_p	als.wikipedia.org	100	Portal
alswiki_p	als.wikipedia.org	101	Portal Diskussion
alswiki_p	als.wikipedia.org	-1	Spezial
alswiki_p	als.wikipedia.org	108	Spruch
alswiki_p	als.wikipedia.org	109	Spruch Diskussion
alswiki_p	als.wikipedia.org	106	Text
alswiki_p	als.wikipedia.org	107	Text Diskussion
alswiki_p	als.wikipedia.org	10	Vorlage
alswiki_p	als.wikipedia.org	11	Vorlage Diskussion
alswiki_p	als.wikipedia.org	4	Wikipedia
alswiki_p	als.wikipedia.org	5	Wikipedia Diskussion
alswiki_p	als.wikipedia.org	104	Wort
alswiki_p	als.wikipedia.org	105	Wort Diskussion
alswikibooks_p	als.wikibooks.org	0	
alswikibooks_p	als.wikibooks.org	2	Benutzer
alswikibooks_p	als.wikibooks.org	3	Benutzer Diskussion
alswikibooks_p	als.wikibooks.org	6	Datei
alswikibooks_p	als.wikibooks.org	7	Datei Diskussion
alswikibooks_p	als.wikibooks.org	1	Diskussion
alswikibooks_p	als.wikibooks.org	12	Hilfe
alswikibooks_p	als.wikibooks.org	13	Hilfe Diskussion
alswikibooks_p	als.wikibooks.org	14	Kategorie
alswikibooks_p	als.wikibooks.org	15	Kategorie Diskussion
alswikibooks_p	als.wikibooks.org	-2	Media
alswikibooks_p	als.wikibooks.org	8	MediaWiki
alswikibooks_p	als.wikibooks.org	9	MediaWiki Diskussion
alswikibooks_p	als.wikibooks.org	-1	Spezial
alswikibooks_p	als.wikibooks.org	10	Vorlage
alswikibooks_p	als.wikibooks.org	11	Vorlage Diskussion
alswikibooks_p	als.wikibooks.org	4	Wikibooks
alswikibooks_p	als.wikibooks.org	5	Wikibooks Diskussion
alswikiquote_p	als.wikiquote.org	0	
alswikiquote_p	als.wikiquote.org	2	Benutzer
alswikiquote_p	als.wikiquote.org	3	Benutzer Diskussion
alswikiquote_p	als.wikiquote.org	6	Datei
alswikiquote_p	als.wikiquote.org	7	Datei Diskussion
alswikiquote_p	als.wikiquote.org	1	Diskussion
alswikiquote_p	als.wikiquote.org	12	Hilfe
alswikiquote_p	als.wikiquote.org	13	Hilfe Diskussion
alswikiquote_p	als.wikiquote.org	14	Kategorie
alswikiquote_p	als.wikiquote.org	15	Kategorie Diskussion
alswikiquote_p	als.wikiquote.org	-2	Media
alswikiquote_p	als.wikiquote.org	8	MediaWiki
alswikiquote_p	als.wikiquote.org	9	MediaWiki Diskussion
alswikiquote_p	als.wikiquote.org	-1	Spezial
alswikiquote_p	als.wikiquote.org	10	Vorlage
alswikiquote_p	als.wikiquote.org	11	Vorlage Diskussion
alswikiquote_p	als.wikiquote.org	4	Wikiquote
alswikiquote_p	als.wikiquote.org	5	Wikiquote Diskussion
alswiktionary_p	als.wiktionary.org	0	
alswiktionary_p	als.wiktionary.org	2	Benutzer
alswiktionary_p	als.wiktionary.org	3	Benutzer Diskussion
alswiktionary_p	als.wiktionary.org	6	Datei
alswiktionary_p	als.wiktionary.org	7	Datei Diskussion
alswiktionary_p	als.wiktionary.org	1	Diskussion
alswiktionary_p	als.wiktionary.org	12	Hilfe
alswiktionary_p	als.wiktionary.org	13	Hilfe Diskussion
alswiktionary_p	als.wiktionary.org	14	Kategorie
alswiktionary_p	als.wiktionary.org	15	Kategorie Diskussion
alswiktionary_p	als.wiktionary.org	-2	Media
alswiktionary_p	als.wiktionary.org	8	MediaWiki
alswiktionary_p	als.wiktionary.org	9	MediaWiki Diskussion
alswiktionary_p	als.wiktionary.org	-1	Spezial
alswiktionary_p	als.wiktionary.org	10	Vorlage
alswiktionary_p	als.wiktionary.org	11	Vorlage Diskussion
alswiktionary_p	als.wiktionary.org	4	Wiktionary
alswiktionary_p	als.wiktionary.org	5	Wiktionary Diskussion
amwiki_p	am.wikipedia.org	12	እርዳታ
amwiki_p	am.wikipedia.org	11	መለጠፊያ ውይይት
amwiki_p	am.wikipedia.org	10	መለጠፊያ
amwiki_p	am.wikipedia.org	9	መልዕክት ውይይት
amwiki_p	am.wikipedia.org	8	መልዕክት
amwiki_p	am.wikipedia.org	7	ስዕል ውይይት
amwiki_p	am.wikipedia.org	6	ስዕል
amwiki_p	am.wikipedia.org	5	Wikipedia ውይይት
amwiki_p	am.wikipedia.org	4	Wikipedia
amwiki_p	am.wikipedia.org	3	አባል ውይይት
amwiki_p	am.wikipedia.org	2	አባል
amwiki_p	am.wikipedia.org	1	ውይይት
amwiki_p	am.wikipedia.org	0	
amwiki_p	am.wikipedia.org	-1	ልዩ
amwiki_p	am.wikipedia.org	-2	ፋይል
amwikiquote_p	am.wikiquote.org	13	እርዳታ ውይይት
amwikiquote_p	am.wikiquote.org	12	እርዳታ
amwikiquote_p	am.wikiquote.org	11	መለጠፊያ ውይይት
amwikiquote_p	am.wikiquote.org	10	መለጠፊያ
amwikiquote_p	am.wikiquote.org	9	መልዕክት ውይይት
amwikiquote_p	am.wikiquote.org	8	መልዕክት
amwikiquote_p	am.wikiquote.org	7	ስዕል ውይይት
amwikiquote_p	am.wikiquote.org	6	ስዕል
amwikiquote_p	am.wikiquote.org	5	Wikiquote ውይይት
amwikiquote_p	am.wikiquote.org	4	Wikiquote
amwikiquote_p	am.wikiquote.org	3	አባል ውይይት
amwikiquote_p	am.wikiquote.org	2	አባል
amwikiquote_p	am.wikiquote.org	1	ውይይት
amwikiquote_p	am.wikiquote.org	0	
amwikiquote_p	am.wikiquote.org	-1	ልዩ
amwikiquote_p	am.wikiquote.org	-2	ፋይል
amwiktionary_p	am.wiktionary.org	10	መለጠፊያ
amwiktionary_p	am.wiktionary.org	9	መልዕክት ውይይት
amwiktionary_p	am.wiktionary.org	8	መልዕክት
